state,year,Type of schools,Enrolled students
NSW,2018,Government schools,798022
VIC,2018,Government schools,619534
QLD,2018,Government schools,551598
WA,2018,Government schools,280625
SA,2018,Government schools,174144
TAS,2018,Government schools,56790
ACT,2018,Government schools,43192
NT,2018,Government schools,29621
NSW,2018,Non-Government schools,420670
VIC,2018,Non-Government schools,352070
QLD,2018,Non-Government schools,267871
WA,2018,Non-Government schools,137234
SA,2018,Non-Government schools,94275
TAS,2018,Non-Government schools,24256
ACT,2018,Non-Government schools,27733
NT,2018,Non-Government schools,10921
NSW,2018,All schools,1218692
VIC,2018,All schools,971604
QLD,2018,All schools,819469
WA,2018,All schools,417859
SA,2018,All schools,268418
TAS,2018,All schools,81046
ACT,2018,All schools,70924
NT,2018,All schools,40542
NSW,2017,Government schools,791040
VIC,2017,Government schools,605071
QLD,2017,Government schools,542878
WA,2017,Government schools,276286
SA,2017,Government schools,172534
TAS,2017,Government schools,56506
ACT,2017,Government schools,41815
NT,2017,Government schools,30347
NSW,2017,Non-Government schools,417430
VIC,2017,Non-Government schools,347991
QLD,2017,Non-Government schools,265528
WA,2017,Non-Government schools,136752
SA,2017,Non-Government schools,93094
TAS,2017,Non-Government schools,24302
ACT,2017,Non-Government schools,27499
NT,2017,Non-Government schools,11175
NSW,2017,All schools,1208470
VIC,2017,All schools,953063
QLD,2017,All schools,808406
WA,2017,All schools,413038
SA,2017,All schools,265629
TAS,2017,All schools,80809
ACT,2017,All schools,69313
NT,2017,All schools,41522
