"Table_Number","Year","Measure","Age","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"3A.1","2019","Estimated resident population (ERP)","0 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","98753","78048","60708","33047","19226","5757","5505","3382","","","304453"
"3A.1","2019","Estimated resident population (ERP)","1 years old","All people","All areas","","Estimated resident population (ERP); 31 December","1 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","98193","78029","61333","33544","19168","5602","5414","3512","","","304828"
"3A.1","2019","Estimated resident population (ERP)","2 years old","All people","All areas","","Estimated resident population (ERP); 31 December","2 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","98114","80037","62664","34513","19430","5695","5499","3524","","","309507"
"3A.1","2019","Estimated resident population (ERP)","3 years old","All people","All areas","","Estimated resident population (ERP); 31 December","3 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","101158","83378","64525","35546","20538","6072","5749","3639","","","320646"
"3A.1","2019","Estimated resident population (ERP)","4 years old","All people","All areas","","Estimated resident population (ERP); 31 December","4 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","102496","85212","65839","35607","21036","6258","5881","3619","","","325999"
"3A.1","2019","Estimated resident population (ERP)","5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","101657","83796","66485","34944","20878","6228","5810","3498","","","323353"
"3A.1","2019","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","600371","488500","381554","207201","120276","35612","33858","21174","","","1888786"
"3A.1","2019","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","713701","570684","480050","242149","148659","45694","38489","24701","","","2264536"
"3A.1","2019","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1314072","1059184","861604","449350","268935","81306","72347","45875","","","4153322"
"3A.1","2018","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","609749","489933","382922","206749","120813","35734","34258","21812","","","1902253"
"3A.1","2018","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","706028","559168","474733","239078","147151","45670","37501","24931","","","2234670"
"3A.1","2018","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1315777","1049101","857655","445827","267964","81404","71759","46743","","","4136923"
"3A.1","2017","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","596894","489732","382593","207478","122086","35902","34252","22527","","","1891764"
"3A.1","2017","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","694573","544982","466259","235781","145039","45484","36211","24751","","","2193484"
"3A.1","2017","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1291467","1034714","848852","443259","267125","81386","70463","47278","","","4085248"
"3A.1","2016","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","598540","481489","381899","207008","123326","36238","33250","22946","","","1885027"
"3A.1","2016","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","680878","530014","456627","231499","142782","45152","34903","24319","","","2146568"
"3A.1","2016","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1279418","1011503","838526","438507","266108","81390","68153","47265","","","4031595"
"3A.1","2015","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","598132","472737","381775","206549","123550","36327","32996","22912","","","1875210"
"3A.1","2015","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","666302","514106","445589","226997","140780","44385","33370","24044","","","2095791"
"3A.1","2015","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1264434","986843","827364","433546","264330","80712","66366","46956","","","3971001"
"3A.1","2014","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","593387","461673","383189","205090","123027","36952","32415","22770","","","1858713"
"3A.1","2014","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","652607","498434","436057","222733","138420","43997","32207","23855","","","2048535"
"3A.1","2014","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1245994","960107","819246","427823","261447","80949","64622","46625","","","3907248"
"3A.1","2013","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","587606","451131","381622","202345","121642","37688","31583","22922","","","1836734"
"3A.1","2013","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","640285","485442","428172","218291","136500","43694","31352","23996","","","2007959"
"3A.1","2013","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1227891","936573","809794","420636","258142","81382","62935","46918","","","3844693"
"3A.1","2012","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","581303","440313","377817","198013","120485","37981","30647","22634","","","1809378"
"3A.1","2012","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","630930","473469","420410","213239","135089","43692","30680","24177","","","1971925"
"3A.1","2012","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1212233","913782","798227","411252","255574","81673","61327","46811","","","3781303"
"3A.1","2011","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","570248","427502","368752","190176","118129","38272","29428","22156","","","1764847"
"3A.1","2011","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","624622","464354","412322","208041","134311","44042","30081","24012","","","1942040"
"3A.1","2011","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1194870","891856","781074","398217","252440","82314","59509","46168","","","3706887"
"3A.1","2010","Estimated resident population (ERP)","0-5 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-5 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","565040","418542","362943","184238","116416","38481","28440","22104","","","1736377"
"3A.1","2010","Estimated resident population (ERP)","6-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","6-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","619437","457642","404990","203837","133974","44420","29453","23921","","","1917936"
"3A.1","2010","Estimated resident population (ERP)","0-12 years old","All people","All areas","","Estimated resident population (ERP); 31 December","0-12 years old","","","","","","Derived from ABS Quarterly Population Estimates (ERP)","no.","1184477","876184","767933","388075","250390","82901","57893","46025","","","3654313"
"3A.2","2019","Estimated resident population at 30 June","3 years old","All people","All areas","","Estimated resident population; 30 June","All children","3 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","103175","85577","65232","35900","21186","6271","5849","3744","","","326986"
"3A.2","2019","Estimated resident population at 30 June","4 years old","All people","All areas","","Estimated resident population; 30 June","All children","4 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","101148","83729","65422","34930","20646","6145","5911","3570","","","321550"
"3A.2","2019","Estimated resident population at 30 June","5 years old","All people","All areas","","Estimated resident population; 30 June","All children","5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","101446","82782","66415","34603","20920","6197","5706","3526","","","321660"
"3A.2","2019","Estimated resident population at 30 June","3-5 years old","All people","All areas","","Estimated resident population; 30 June","All children","3-5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","305769","252088","197069","105433","62752","18613","17466","10840","","","970196"
"3A.2","2019","Estimated resident population at 30 June","3 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6531","1462","5374","2273","998","643","171","1395","","","18850"
"3A.2","2019","Estimated resident population at 30 June","4 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","4 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6380","1393","5508","2303","989","624","173","1439","","","18810"
"3A.2","2019","Estimated resident population at 30 June","5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","5 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6191","1428","5367","2364","978","597","169","1417","","","18515"
"3A.2","2019","Estimated resident population at 30 June","3-5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3-5 years old","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","19102","4283","16249","6940","2965","1864","513","4251","","","56175"
"3A.2","2018","Estimated resident population at 30 June","3 years old","All people","All areas","","Estimated resident population; 30 June","All children","3 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100561","82670","64475","34680","20416","6062","5837","3654","","","318404"
"3A.2","2018","Estimated resident population at 30 June","4 years old","All people","All areas","","Estimated resident population; 30 June","All children","4 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100753","81782","65346","34360","20663","6124","5620","3607","","","318319"
"3A.2","2018","Estimated resident population at 30 June","5 years old","All people","All areas","","Estimated resident population; 30 June","All children","5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","102524","83418","66442","34751","21024","6196","5781","3672","","","323859"
"3A.2","2018","Estimated resident population at 30 June","3-5 years old","All people","All areas","","Estimated resident population; 30 June","All children","3-5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","303838","247870","196263","103791","62103","18382","17238","10933","","","960582"
"3A.2","2018","Estimated resident population at 30 June","3 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6389","1387","5504","2294","993","624","176","1446","","","18814"
"3A.2","2018","Estimated resident population at 30 June","4 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","4 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6205","1435","5363","2355","971","597","175","1413","","","18518"
"3A.2","2018","Estimated resident population at 30 June","5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","5 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6384","1483","5421","2323","1028","589","192","1459","","","18881"
"3A.2","2018","Estimated resident population at 30 June","3-5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3-5 years old","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","18978","4305","16288","6972","2992","1810","543","4318","","","56213"
"3A.2","2017","Estimated resident population at 30 June","3 years old","All people","All areas","","Estimated resident population; 30 June","All children","3 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","99928","80458","64173","34228","20506","6022","5627","3681","","","314687"
"3A.2","2017","Estimated resident population at 30 June","4 years old","All people","All areas","","Estimated resident population; 30 June","All children","4 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","102064","82391","65487","34612","20973","6153","5684","3722","","","321140"
"3A.2","2017","Estimated resident population at 30 June","5 years old","All people","All areas","","Estimated resident population; 30 June","All children","5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","102025","80854","65837","34159","21167","6184","5609","3877","","","319775"
"3A.2","2017","Estimated resident population at 30 June","3-5 years old","All people","All areas","","Estimated resident population; 30 June","All children","3-5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","304017","243703","195497","102999","62646","18359","16920","11280","","","955602"
"3A.2","2017","Estimated resident population at 30 June","3 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6213","1432","5356","2348","975","597","178","1419","","","18522"
"3A.2","2017","Estimated resident population at 30 June","4 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","4 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6401","1491","5418","2311","1021","589","196","1455","","","18884"
"3A.2","2017","Estimated resident population at 30 June","5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","5 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6387","1322","5445","2242","990","663","160","1497","","","18712"
"3A.2","2017","Estimated resident population at 30 June","3-5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3-5 years old","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","19001","4245","16219","6901","2986","1849","534","4371","","","56118"
"3A.2","2016","Estimated resident population at 30 June","3 years old","All people","All areas","","Estimated resident population; 30 June","All children","3 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100822","80728","64372","34458","20773","6077","5603","3793","","","316679"
"3A.2","2016","Estimated resident population at 30 June","4 years old","All people","All areas","","Estimated resident population; 30 June","All children","4 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100523","79039","64540","33915","20964","6112","5505","3875","","","314536"
"3A.2","2016","Estimated resident population at 30 June","5 years old","All people","All areas","","Estimated resident population; 30 June","All children","5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100430","78111","65335","34468","20703","6365","5391","3777","","","314636"
"3A.2","2016","Estimated resident population at 30 June","3-5 years old","All people","All areas","","Estimated resident population; 30 June","All children","3-5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","301775","237878","194247","102841","62440","18554","16499","11445","","","945851"
"3A.2","2016","Estimated resident population at 30 June","3 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6411","1488","5410","2303","1026","589","199","1460","","","18888"
"3A.2","2016","Estimated resident population at 30 June","4 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","4 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6404","1327","5444","2230","983","664","165","1493","","","18716"
"3A.2","2016","Estimated resident population at 30 June","5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","5 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6293","1330","5405","2278","1040","630","165","1563","","","18709"
"3A.2","2016","Estimated resident population at 30 June","3-5 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3-5 years old","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","19108","4145","16259","6811","3049","1883","529","4516","","","56313"
"3A.2","2015","Estimated resident population at 30 June","3 years old","All people","All areas","","Estimated resident population; 30 June","All children","3 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100002","77788","64041","34036","20817","6144","5394","3870","","","312136"
"3A.2","2015","Estimated resident population at 30 June","4 years old","All people","All areas","","Estimated resident population; 30 June","All children","4 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","99249","76240","64225","34252","20474","6309","5294","3771","","","309845"
"3A.2","2015","Estimated resident population at 30 June","5 years old","All people","All areas","","Estimated resident population; 30 June","All children","5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","100009","77229","65473","34220","20804","6303","5365","3737","","","313171"
"3A.2","2015","Estimated resident population at 30 June","3-5 years old","All people","All areas","","Estimated resident population; 30 June","All children","3-5 years old","","","","","Derived from ABS Australian Demographic Statistics","no.","299260","231257","193739","102508","62095","18756","16053","11378","","","935152"
"3A.2","2015","Estimated resident population at 30 June","3 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","3 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6388","1333","5456","2238","985","665","164","1486","","","18721"
"3A.2","2015","Estimated resident population at 30 June","4 years old","Aboriginal and Torres Strait Islander","All areas","","Estimated resident population; 30 June","Aboriginal and Torres Strait Islander children","4 years old","","","","","ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","6288","1338","5413","2287","1034","630","163","1556","","","18714"
